時間,地區別,船種,臺灣港口,重量(公噸)
098年02月,浙江平湖,貨櫃輪,基隆港,0
098年02月,廣東番禺市橋,貨櫃輪,基隆港,35
098年02月,福建莆田,貨櫃輪,基隆港,152
098年02月,上海浦東機場,貨櫃輪,基隆港,0
098年02月,廣東清溪,貨櫃輪,基隆港,184
098年02月,廣東清遠,貨櫃輪,基隆港,3
098年02月,福建泉州,貨櫃輪,基隆港,539
098年02月,廣東容奇,貨櫃輪,基隆港,363
098年02月,吉林三合,貨櫃輪,基隆港,123
098年02月,上海,貨櫃輪,基隆港,36905
098年02月,遼寧瀋陽,貨櫃輪,基隆港,40
098年02月,廣東三山,貨櫃輪,基隆港,120
098年02月,福建石獅,貨櫃輪,基隆港,7
098年02月,廣東沙井,貨櫃輪,基隆港,198
098年02月,廣東蛇口,貨櫃輪,基隆港,37
098年02月,海南紅海,貨櫃輪,基隆港,252
098年02月,廣東沙田,貨櫃輪,基隆港,296
098年02月,廣東石碣,貨櫃輪,基隆港,57
098年02月,廣東三水,貨櫃輪,基隆港,5325
098年02月,廣東南海三山,貨櫃輪,基隆港,23
098年02月,廣東順德,貨櫃輪,基隆港,10
098年02月,廣東汕頭,貨櫃輪,基隆港,72
098年02月,浙江紹興縣,貨櫃輪,基隆港,2
098年02月,廣東十堰,貨櫃輪,基隆港,303
098年02月,江蘇蘇州,貨櫃輪,基隆港,1493
098年02月,廣東深圳,貨櫃輪,基隆港,1891
098年02月,江蘇太倉,貨櫃輪,基隆港,454
098年02月,山東青島,貨櫃輪,基隆港,5260
098年02月,廣東太平,貨櫃輪,基隆港,1634
098年02月,黑龍江同江,貨櫃輪,基隆港,3
098年02月,天津,貨櫃輪,基隆港,330
098年02月,廣東塘廈,貨櫃輪,基隆港,191
098年02月,天津新港,貨櫃輪,基隆港,789
098年02月,安徽蕪湖,貨櫃輪,基隆港,4
098年02月,浙江溫州,貨櫃輪,基隆港,58
098年02月,福建圍頭,貨櫃輪,基隆港,147
098年02月,湖北武漢,貨櫃輪,基隆港,27
098年02月,江蘇吳江,貨櫃輪,基隆港,108
098年02月,江蘇無錫,貨櫃輪,基隆港,775
098年02月,廣西梧州,貨櫃輪,基隆港,192
098年02月,廣東新豐,貨櫃輪,基隆港,200
098年02月,天津新港,貨櫃輪,基隆港,1323
098年02月,廣東小欖,貨櫃輪,基隆港,325
098年02月,廣東新會,貨櫃輪,基隆港,19
098年02月,廣東新塘,貨櫃輪,基隆港,371
098年02月,福建廈門,貨櫃輪,基隆港,10800
098年02月,河北辛集,貨櫃輪,基隆港,6
098年02月,青海西寧,貨櫃輪,基隆港,9
098年02月,湖南－－,貨櫃輪,基隆港,2
098年02月,福建仙游,貨櫃輪,基隆港,1
098年02月,河北宜昌,貨櫃輪,基隆港,34
098年02月,遼寧營口,貨櫃輪,基隆港,35
098年02月,山東煙臺,貨櫃輪,基隆港,47
098年02月,廣東鹽田,貨櫃輪,基隆港,4140
098年02月,江蘇楊州,貨櫃輪,基隆港,31
098年02月,廣東湛江,貨櫃輪,基隆港,157
098年02月,江蘇鎮江,貨櫃輪,基隆港,49
098年02月,江蘇張家港,貨櫃輪,基隆港,1162
098年02月,浙江舟山,貨櫃輪,基隆港,18
098年02月,廣東肇慶,貨櫃輪,基隆港,432
098年02月,廣東中山,貨櫃輪,基隆港,1093
098年02月,廣東珠海,貨櫃輪,基隆港,382
098年03月,安徽安慶,貨櫃輪,基隆港,21
098年03月,上海寶山碼頭,貨櫃輪,基隆港,1
098年03月,福建北茭,貨櫃輪,基隆港,18
098年03月,北京,貨櫃輪,基隆港,13
098年03月,廣東保安,貨櫃輪,基隆港,369
098年03月,廣東博羅,貨櫃輪,基隆港,10
098年03月,廣東布吉,貨櫃輪,基隆港,17
098年03月,廣東廣州,貨櫃輪,基隆港,260
098年03月,河南鄭州,貨櫃輪,基隆港,276
098年03月,吉林長春,貨櫃輪,基隆港,1
098年03月,江蘇常熟,貨櫃輪,基隆港,224
098年03月,陝西長安,貨櫃輪,基隆港,1
098年03月,上海漕涇,貨櫃輪,基隆港,121
098年03月,重慶,貨櫃輪,基隆港,26
098年03月,廣東從化,貨櫃輪,基隆港,160
098年03月,廣東昌平,貨櫃輪,基隆港,114
098年03月,湖南長沙,貨櫃輪,基隆港,85
098年03月,四川成都,貨櫃輪,基隆港,26
098年03月,江蘇常州,貨櫃輪,基隆港,0
098年03月,遼寧丹東,貨櫃輪,基隆港,77
098年03月,廣東東莞,貨櫃輪,基隆港,4632
098年03月,江西東坑,貨櫃輪,基隆港,26
098年03月,遼寧大連,貨櫃輪,基隆港,1506
098年03月,廣東丹灶,貨櫃輪,基隆港,34
098年03月,廣東斗門,貨櫃輪,基隆港,195
098年03月,廣西防城,貨櫃輪,基隆港,22
098年03月,廣東鳳崗,貨櫃輪,基隆港,1
098年03月,福建福州,貨櫃輪,基隆港,154
098年03月,廣東佛山,貨櫃輪,基隆港,220
098年03月,福建福清,貨櫃輪,基隆港,197
098年03月,廣東福田,貨櫃輪,基隆港,21
098年03月,廣東高要,貨櫃輪,基隆港,160
098年03月,廣東高明,貨櫃輪,基隆港,77
098年03月,廣東,貨櫃輪,基隆港,22
098年03月,廣西貴港,貨櫃輪,基隆港,17
098年03月,廣東觀瀾,貨櫃輪,基隆港,97
098年03月,海南海口,貨櫃輪,基隆港,124
098年03月,廣東花都,貨櫃輪,基隆港,214
098年03月,廣東河源,貨櫃輪,基隆港,41
098年03月,浙江杭州,貨櫃輪,基隆港,39
098年03月,廣東虎門,貨櫃輪,基隆港,325
098年03月,廣東厚街,貨櫃輪,基隆港,36
098年03月,廣東鶴山,貨櫃輪,基隆港,125
098年03月,廣東黃埔,貨櫃輪,基隆港,2699
098年03月,廣東皇崗,貨櫃輪,基隆港,203
098年03月,廣東惠州,貨櫃輪,基隆港,724
098年03月,黑龍江呼瑪,貨櫃輪,基隆港,11
098年03月,廣東黃埔新港,貨櫃輪,基隆港,29
098年03月,浙江湖州,貨櫃輪,基隆港,21
098年03月,江蘇江陰,貨櫃輪,基隆港,863
098年03月,江西九江,貨櫃輪,基隆港,183
098年03月,廣東九江,貨櫃輪,基隆港,43
098年03月,廣東江門,貨櫃輪,基隆港,222
098年03月,廣東九州,貨櫃輪,基隆港,55
098年03月,江西南昌,貨櫃輪,基隆港,145
098年03月,河北開平,貨櫃輪,基隆港,2
098年03月,江蘇昆山,貨櫃輪,基隆港,4535
098年03月,廣東寮步,貨櫃輪,基隆港,137
098年03月,廣東龍崗,貨櫃輪,基隆港,718
098年03月,廣東龍華,貨櫃輪,基隆港,11
098年03月,廣東蓮花山,貨櫃輪,基隆港,297
098年03月,湖南蘭市,貨櫃輪,基隆港,130
098年03月,廣東六都,貨櫃輪,基隆港,22
098年03月,廣東勒流,貨櫃輪,基隆港,133
098年03月,江蘇連雲港,貨櫃輪,基隆港,275
098年03月,福建馬尾,貨櫃輪,基隆港,120
098年03月,廣東麻湧,貨櫃輪,基隆港,0
098年03月,廣東梅州,貨櫃輪,基隆港,2
098年03月,廣東馬坊,貨櫃輪,基隆港,4
098年03月,廣東南海,貨櫃輪,基隆港,151
098年03月,浙江寧波,貨櫃輪,基隆港,19001
098年03月,江蘇南京,貨櫃輪,基隆港,753
098年03月,廣東南沙,貨櫃輪,基隆港,221
098年03月,江蘇南通,貨櫃輪,基隆港,726
098年03月,廣東平州,貨櫃輪,基隆港,0
098年03月,廣東坪山,貨櫃輪,基隆港,47
098年03月,浙江平湖,貨櫃輪,基隆港,1
098年03月,廣東番禺市橋,貨櫃輪,基隆港,242
098年03月,福建莆田,貨櫃輪,基隆港,273
098年03月,上海浦東機場,貨櫃輪,基隆港,6
098年03月,廣東清溪,貨櫃輪,基隆港,266
098年03月,廣東清遠,貨櫃輪,基隆港,23
098年03月,福建泉州,貨櫃輪,基隆港,143
098年03月,廣東容奇,貨櫃輪,基隆港,676
098年03月,吉林三合,貨櫃輪,基隆港,265
098年03月,上海,貨櫃輪,基隆港,57497
098年03月,遼寧瀋陽,貨櫃輪,基隆港,80
098年03月,廣東三山,貨櫃輪,基隆港,87
098年03月,廣東沙井,貨櫃輪,基隆港,259
098年03月,廣東蛇口,貨櫃輪,基隆港,111
098年03月,海南紅海,貨櫃輪,基隆港,76
098年03月,廣東四會,貨櫃輪,基隆港,17
098年03月,廣東沙田,貨櫃輪,基隆港,438
098年03月,廣東石碣,貨櫃輪,基隆港,39
098年03月,廣東三水,貨櫃輪,基隆港,7263
098年03月,廣東南海三山,貨櫃輪,基隆港,5
098年03月,廣東順德,貨櫃輪,基隆港,1
098年03月,廣東穗港黃埔,貨櫃輪,基隆港,0
098年03月,廣東汕頭,貨櫃輪,基隆港,338
098年03月,廣東十堰,貨櫃輪,基隆港,38
098年03月,江蘇蘇州,貨櫃輪,基隆港,2836
098年03月,廣東深圳,貨櫃輪,基隆港,1986
098年03月,江蘇太倉,貨櫃輪,基隆港,416
098年03月,山東青島,貨櫃輪,基隆港,5599
098年03月,廣東太平,貨櫃輪,基隆港,1437
098年03月,天津,貨櫃輪,基隆港,918
098年03月,廣東塘廈,貨櫃輪,基隆港,332
098年03月,天津新港,貨櫃輪,基隆港,1139
098年03月,江蘇泰州,貨櫃輪,基隆港,5
098年03月,安徽蕪湖,貨櫃輪,基隆港,254
098年03月,浙江溫州,貨櫃輪,基隆港,285
098年03月,福建圍頭,貨櫃輪,基隆港,131
098年03月,湖北武漢,貨櫃輪,基隆港,33
098年03月,江蘇吳江,貨櫃輪,基隆港,195
098年03月,江蘇無錫,貨櫃輪,基隆港,1158
098年03月,廣西梧州,貨櫃輪,基隆港,171
098年03月,廣東新豐,貨櫃輪,基隆港,401
098年03月,天津新港,貨櫃輪,基隆港,1699
098年03月,廣東小欖,貨櫃輪,基隆港,45
098年03月,廣東新會,貨櫃輪,基隆港,151
098年03月,廣東新塘,貨櫃輪,基隆港,691
098年03月,福建廈門,貨櫃輪,基隆港,12083
098年03月,河北辛集,貨櫃輪,基隆港,1
098年03月,青海西寧,貨櫃輪,基隆港,10
098年03月,湖南－－,貨櫃輪,基隆港,2
098年03月,福建仙游,貨櫃輪,基隆港,2
098年03月,浙江洋山,貨櫃輪,基隆港,35
098年03月,遼寧營口,貨櫃輪,基隆港,43
098年03月,山東煙臺,貨櫃輪,基隆港,190
098年03月,廣東鹽田,貨櫃輪,基隆港,3115
098年03月,江蘇楊州,貨櫃輪,基隆港,105
098年03月,廣東湛江,貨櫃輪,基隆港,60
098年03月,江蘇鎮江,貨櫃輪,基隆港,144
098年03月,河南駐馬店,貨櫃輪,基隆港,3
098年03月,江蘇張家港,貨櫃輪,基隆港,2365
098年03月,浙江舟山,貨櫃輪,基隆港,3
098年03月,廣東肇慶,貨櫃輪,基隆港,450
098年03月,廣東中山,貨櫃輪,基隆港,2087
098年03月,廣東珠海,貨櫃輪,基隆港,593
098年03月,廣東廣州,油輪,基隆港,3265
098年04月,上海寶山碼頭,貨櫃輪,基隆港,1
098年04月,遼寧鱍魚圈,貨櫃輪,基隆港,12
098年04月,廣西北海,貨櫃輪,基隆港,59
098年04月,福建北茭,貨櫃輪,基隆港,21
098年04月,北京,貨櫃輪,基隆港,16
098年04月,廣東保安,貨櫃輪,基隆港,203
098年04月,廣東廣州,貨櫃輪,基隆港,1252
098年04月,河南鄭州,貨櫃輪,基隆港,204
098年04月,吉林長春,貨櫃輪,基隆港,5
098年04月,江蘇常熟,貨櫃輪,基隆港,164
098年04月,陝西長安,貨櫃輪,基隆港,35
098年04月,重慶,貨櫃輪,基隆港,22
098年04月,廣東從化,貨櫃輪,基隆港,144
098年04月,廣東昌平,貨櫃輪,基隆港,131
098年04月,湖南長沙,貨櫃輪,基隆港,46
098年04月,四川成都,貨櫃輪,基隆港,3
098年04月,廣東赤灣,貨櫃輪,基隆港,124
098年04月,廣東東莞,貨櫃輪,基隆港,2766
098年04月,江西東坑,貨櫃輪,基隆港,34
098年04月,遼寧大連,貨櫃輪,基隆港,857
098年04月,廣東大嶺山,貨櫃輪,基隆港,60
098年04月,廣東丹灶,貨櫃輪,基隆港,15
098年04月,廣東斗門,貨櫃輪,基隆港,123
098年04月,廣西防城,貨櫃輪,基隆港,20
098年04月,廣東鳳崗,貨櫃輪,基隆港,30
098年04月,福建福州,貨櫃輪,基隆港,256
098年04月,廣東佛山,貨櫃輪,基隆港,499
098年04月,遼寧撫順,貨櫃輪,基隆港,61
098年04月,福建福清,貨櫃輪,基隆港,75
098年04月,廣東福田,貨櫃輪,基隆港,2
098年04月,雲南－－,貨櫃輪,基隆港,11
098年04月,廣東高要,貨櫃輪,基隆港,166
098年04月,廣東高明,貨櫃輪,基隆港,89
098年04月,廣東,貨櫃輪,基隆港,2
098年04月,廣西貴港,貨櫃輪,基隆港,12
098年04月,廣東觀瀾,貨櫃輪,基隆港,102
098年04月,海南海口,貨櫃輪,基隆港,96
098年04月,廣東花都,貨櫃輪,基隆港,342
098年04月,安徽合肥,貨櫃輪,基隆港,11
098年04月,浙江杭州,貨櫃輪,基隆港,32
098年04月,廣東虎門,貨櫃輪,基隆港,162
098年04月,廣東橫崗,貨櫃輪,基隆港,0
098年04月,廣東厚街,貨櫃輪,基隆港,44
098年04月,廣東鶴山,貨櫃輪,基隆港,266
098年04月,廣東黃埔,貨櫃輪,基隆港,1677
098年04月,廣東皇崗,貨櫃輪,基隆港,70
098年04月,廣東惠州,貨櫃輪,基隆港,949
098年04月,黑龍江呼瑪,貨櫃輪,基隆港,11
098年04月,廣東黃埔新港,貨櫃輪,基隆港,6
098年04月,江蘇江陰,貨櫃輪,基隆港,665
098年04月,江西九江,貨櫃輪,基隆港,2
098年04月,廣東九江,貨櫃輪,基隆港,20
098年04月,廣東江門,貨櫃輪,基隆港,385
098年04月,廣東九州,貨櫃輪,基隆港,154
098年04月,廣東開平,貨櫃輪,基隆港,6
098年04月,江西南昌,貨櫃輪,基隆港,62
098年04月,雲南昆明,貨櫃輪,基隆港,12
098年04月,江蘇昆山,貨櫃輪,基隆港,3869
098年04月,廣東寮步,貨櫃輪,基隆港,124
098年04月,廣東龍崗,貨櫃輪,基隆港,395
098年04月,廣東龍華,貨櫃輪,基隆港,18
098年04月,廣東蓮花山,貨櫃輪,基隆港,204
098年04月,湖南蘭市,貨櫃輪,基隆港,40
098年04月,廣東六都,貨櫃輪,基隆港,97
098年04月,廣東勒流,貨櫃輪,基隆港,86
098年04月,江蘇連雲港,貨櫃輪,基隆港,353
098年04月,福建馬尾,貨櫃輪,基隆港,368
098年04月,廣東麻湧,貨櫃輪,基隆港,1
098年04月,廣東馬坊,貨櫃輪,基隆港,17
098年04月,廣東南海,貨櫃輪,基隆港,422
098年04月,浙江寧波,貨櫃輪,基隆港,17022
098年04月,江蘇南京,貨櫃輪,基隆港,801
098年04月,廣東南沙,貨櫃輪,基隆港,127
098年04月,江蘇南通,貨櫃輪,基隆港,639
098年04月,廣東平州,貨櫃輪,基隆港,35
098年04月,廣東平湖,貨櫃輪,基隆港,37
098年04月,貴州坪地,貨櫃輪,基隆港,47
098年04月,浙江平湖,貨櫃輪,基隆港,0
098年04月,廣東番禺市橋,貨櫃輪,基隆港,132
098年04月,福建莆田,貨櫃輪,基隆港,457
098年04月,上海浦東機場,貨櫃輪,基隆港,13
098年04月,廣東清溪,貨櫃輪,基隆港,240
098年04月,廣東清遠,貨櫃輪,基隆港,17
098年04月,福建泉州,貨櫃輪,基隆港,160
098年04月,廣東容奇,貨櫃輪,基隆港,323
098年04月,上海,貨櫃輪,基隆港,54103
098年04月,廣東三山,貨櫃輪,基隆港,20
098年04月,廣東沙井,貨櫃輪,基隆港,206
098年04月,廣東蛇口,貨櫃輪,基隆港,223
098年04月,廣東沙田,貨櫃輪,基隆港,543
098年04月,廣東石碣,貨櫃輪,基隆港,4
098年04月,廣東三水,貨櫃輪,基隆港,8485
098年04月,河北石家莊,貨櫃輪,基隆港,2
098年04月,廣東穗港黃埔,貨櫃輪,基隆港,6
098年04月,廣東汕頭,貨櫃輪,基隆港,338
098年04月,浙江紹興縣,貨櫃輪,基隆港,2
098年04月,廣東十堰,貨櫃輪,基隆港,32
098年04月,江蘇蘇州,貨櫃輪,基隆港,2640
098年04月,廣東深圳,貨櫃輪,基隆港,2324
098年04月,江蘇太倉,貨櫃輪,基隆港,2401
098年04月,山東青島,貨櫃輪,基隆港,1950
098年04月,廣東太平,貨櫃輪,基隆港,1122
098年04月,天津,貨櫃輪,基隆港,524
098年04月,廣東塘廈,貨櫃輪,基隆港,148
098年04月,天津新港,貨櫃輪,基隆港,1008
098年04月,廣東外海,貨櫃輪,基隆港,0
098年04月,浙江溫州,貨櫃輪,基隆港,185
098年04月,福建圍頭,貨櫃輪,基隆港,320
098年04月,湖北武漢,貨櫃輪,基隆港,33
098年04月,江蘇吳江,貨櫃輪,基隆港,179
098年04月,江蘇無錫,貨櫃輪,基隆港,909
098年04月,廣西梧州,貨櫃輪,基隆港,214
098年04月,廣東新豐,貨櫃輪,基隆港,487
098年04月,天津新港,貨櫃輪,基隆港,2386
098年04月,廣東香洲,貨櫃輪,基隆港,16
098年04月,廣東小欖,貨櫃輪,基隆港,120
098年04月,廣東新會,貨櫃輪,基隆港,103
098年04月,廣東新塘,貨櫃輪,基隆港,1006
098年04月,福建廈門,貨櫃輪,基隆港,9685
098年04月,青海西寧,貨櫃輪,基隆港,7
098年04月,湖南－－,貨櫃輪,基隆港,0
098年04月,福建仙游,貨櫃輪,基隆港,0
