時間,地區別,船種,臺灣港口,重量(公噸)
098年03月,上海浦東機場,貨櫃輪,基隆港,1
098年03月,吉林三合,貨櫃輪,基隆港,17
098年03月,上海,貨櫃輪,基隆港,47219
098年03月,遼寧瀋陽,貨櫃輪,基隆港,16
098年03月,廣東三山,貨櫃輪,基隆港,40
098年03月,福建石獅,貨櫃輪,基隆港,1
098年03月,廣東蛇口,貨櫃輪,基隆港,343
098年03月,河北秦皇島,貨櫃輪,基隆港,43
098年03月,廣東順德,貨櫃輪,基隆港,3
098年03月,廣東汕頭,貨櫃輪,基隆港,11
098年03月,新疆鄯善,貨櫃輪,基隆港,14
098年03月,廣東深圳,貨櫃輪,基隆港,3
098年03月,江蘇太倉,貨櫃輪,基隆港,2472
098年03月,山東青島,貨櫃輪,基隆港,8305
098年03月,天津新港,貨櫃輪,基隆港,4205
098年03月,湖北武漢,貨櫃輪,基隆港,462
098年03月,廣西梧州,貨櫃輪,基隆港,27
098年03月,廣東新豐,貨櫃輪,基隆港,2315
098年03月,天津新港,貨櫃輪,基隆港,1876
098年03月,廣東小欖,貨櫃輪,基隆港,3
098年03月,廣東新塘,貨櫃輪,基隆港,3
098年03月,福建廈門,貨櫃輪,基隆港,18704
098年03月,青海西寧,貨櫃輪,基隆港,60
098年03月,山東煙臺,貨櫃輪,基隆港,17
098年03月,廣東鹽田,貨櫃輪,基隆港,314
098年03月,湖南岳陽,貨櫃輪,基隆港,1030
098年03月,廣東湛江,貨櫃輪,基隆港,20
098年03月,江蘇鎮江,貨櫃輪,基隆港,141
098年03月,江蘇張家港,貨櫃輪,基隆港,122
098年03月,廣東肇慶,貨櫃輪,基隆港,144
098年03月,廣東珠海,貨櫃輪,基隆港,964
098年03月,福建福州,散裝輪,基隆港,278192
098年03月,福建馬尾,散裝輪,基隆港,107260
098年03月,上海,散裝輪,基隆港,131
098年04月,安徽安慶,貨櫃輪,基隆港,30
098年04月,遼寧鱍魚圈,貨櫃輪,基隆港,24
098年04月,廣西北海,貨櫃輪,基隆港,5
098年04月,廣東廣州,貨櫃輪,基隆港,16
098年04月,重慶,貨櫃輪,基隆港,229
098年04月,遼寧大連,貨櫃輪,基隆港,4734
098年04月,廣西防城,貨櫃輪,基隆港,451
098年04月,福建福州,貨櫃輪,基隆港,989
098年04月,廣東佛山,貨櫃輪,基隆港,12
098年04月,福建福清,貨櫃輪,基隆港,90
098年04月,廣東,貨櫃輪,基隆港,0
098年04月,廣東花都,貨櫃輪,基隆港,45
098年04月,廣東黃埔,貨櫃輪,基隆港,98
098年04月,廣東黃埔新港,貨櫃輪,基隆港,0
098年04月,江蘇江陰,貨櫃輪,基隆港,435
098年04月,江西九江,貨櫃輪,基隆港,51
098年04月,廣東江門,貨櫃輪,基隆港,10
098年04月,廣東蓮花山,貨櫃輪,基隆港,10
098年04月,江蘇連雲港,貨櫃輪,基隆港,2873
098年04月,福建馬尾,貨櫃輪,基隆港,2
098年04月,浙江寧波,貨櫃輪,基隆港,5498
098年04月,江蘇南京,貨櫃輪,基隆港,472
098年04月,廣東南沙,貨櫃輪,基隆港,11
098年04月,江蘇南通,貨櫃輪,基隆港,51
098年04月,廣東番禺市橋,貨櫃輪,基隆港,1
098年04月,上海浦東機場,貨櫃輪,基隆港,0
098年04月,廣東容奇,貨櫃輪,基隆港,2
098年04月,上海,貨櫃輪,基隆港,41643
098年04月,廣東三山,貨櫃輪,基隆港,3
098年04月,廣東蛇口,貨櫃輪,基隆港,239
098年04月,河北秦皇島,貨櫃輪,基隆港,43
098年04月,廣東南海三山,貨櫃輪,基隆港,6
098年04月,廣東順德,貨櫃輪,基隆港,0
098年04月,廣東汕頭,貨櫃輪,基隆港,48
098年04月,新疆鄯善,貨櫃輪,基隆港,14
098年04月,江蘇蘇州,貨櫃輪,基隆港,5
098年04月,廣東深圳,貨櫃輪,基隆港,13
098年04月,江蘇太倉,貨櫃輪,基隆港,1256
098年04月,山東青島,貨櫃輪,基隆港,7585
098年04月,天津,貨櫃輪,基隆港,52
098年04月,天津新港,貨櫃輪,基隆港,3358
098年04月,湖北武漢,貨櫃輪,基隆港,506
098年04月,廣西梧州,貨櫃輪,基隆港,15
098年04月,廣東新豐,貨櫃輪,基隆港,2368
098年04月,天津新港,貨櫃輪,基隆港,2217
098年04月,廣東新會,貨櫃輪,基隆港,29
098年04月,福建廈門,貨櫃輪,基隆港,16286
098年04月,青海西寧,貨櫃輪,基隆港,16
098年04月,遼寧營口,貨櫃輪,基隆港,22
098年04月,廣東鹽田,貨櫃輪,基隆港,190
098年04月,廣東湛江,貨櫃輪,基隆港,180
098年04月,江蘇鎮江,貨櫃輪,基隆港,61
098年04月,江蘇張家港,貨櫃輪,基隆港,186
098年04月,廣東肇慶,貨櫃輪,基隆港,410
098年04月,廣東中山,貨櫃輪,基隆港,31
098年04月,廣東珠海,貨櫃輪,基隆港,78
098年04月,廣東廣州,散裝輪,基隆港,19300
098年04月,福建福州,散裝輪,基隆港,254066
098年04月,福建馬尾,散裝輪,基隆港,99880
098年04月,江蘇張家港,散裝輪,基隆港,26969
098年04月,福建漳州,散裝輪,基隆港,16000
098年04月,廣東廣州,乾貨輪,基隆港,5752
098年04月,遼寧丹東,乾貨輪,基隆港,1000
098年05月,上海,客輪,基隆港,2
098年05月,安徽安慶,貨櫃輪,基隆港,20
098年05月,江蘇常熟,貨櫃輪,基隆港,159
098年05月,重慶,貨櫃輪,基隆港,398
098年05月,湖南長沙,貨櫃輪,基隆港,61
098年05月,廣東東莞,貨櫃輪,基隆港,23
098年05月,遼寧大連,貨櫃輪,基隆港,3370
098年05月,廣西防城,貨櫃輪,基隆港,383
098年05月,福建福州,貨櫃輪,基隆港,1249
098年05月,福建福清,貨櫃輪,基隆港,1
098年05月,廣東高明,貨櫃輪,基隆港,7
098年05月,廣東,貨櫃輪,基隆港,0
098年05月,廣東黃埔,貨櫃輪,基隆港,50
098年05月,湖北荊州,貨櫃輪,基隆港,126
098年05月,江蘇江陰,貨櫃輪,基隆港,107
098年05月,江西九江,貨櫃輪,基隆港,4
098年05月,江西南昌,貨櫃輪,基隆港,330
098年05月,廣東蓮花山,貨櫃輪,基隆港,4
098年05月,江蘇連雲港,貨櫃輪,基隆港,2182
098年05月,福建馬尾,貨櫃輪,基隆港,1
098年05月,浙江寧波,貨櫃輪,基隆港,5027
098年05月,江蘇南京,貨櫃輪,基隆港,310
098年05月,廣東南沙,貨櫃輪,基隆港,263
098年05月,江蘇南通,貨櫃輪,基隆港,41
098年05月,上海浦東機場,貨櫃輪,基隆港,6
098年05月,吉林三合,貨櫃輪,基隆港,13
098年05月,上海,貨櫃輪,基隆港,45089
098年05月,遼寧瀋陽,貨櫃輪,基隆港,3
098年05月,廣東三山,貨櫃輪,基隆港,5
098年05月,河北山海關,貨櫃輪,基隆港,17
098年05月,廣東蛇口,貨櫃輪,基隆港,147
098年05月,廣東汕頭,貨櫃輪,基隆港,8
098年05月,新疆鄯善,貨櫃輪,基隆港,4
098年05月,廣東深圳,貨櫃輪,基隆港,15
098年05月,江蘇太倉,貨櫃輪,基隆港,1730
098年05月,山東青島,貨櫃輪,基隆港,6838
098年05月,天津,貨櫃輪,基隆港,82
098年05月,天津新港,貨櫃輪,基隆港,3000
098年05月,湖北武漢,貨櫃輪,基隆港,798
098年05月,廣東新豐,貨櫃輪,基隆港,2632
098年05月,天津新港,貨櫃輪,基隆港,1701
098年05月,廣東新會,貨櫃輪,基隆港,0
098年05月,廣東新塘,貨櫃輪,基隆港,2
098年05月,福建廈門,貨櫃輪,基隆港,14892
098年05月,青海西寧,貨櫃輪,基隆港,48
098年05月,遼寧營口,貨櫃輪,基隆港,22
098年05月,廣東鹽田,貨櫃輪,基隆港,139
098年05月,湖南岳陽,貨櫃輪,基隆港,533
098年05月,廣東湛江,貨櫃輪,基隆港,507
098年05月,江蘇鎮江,貨櫃輪,基隆港,161
098年05月,江蘇張家港,貨櫃輪,基隆港,235
098年05月,廣東肇慶,貨櫃輪,基隆港,127
098年05月,廣東中山,貨櫃輪,基隆港,100
098年05月,遼寧大連,油輪,基隆港,3119
098年05月,福建城澳,散裝輪,基隆港,23400
098年05月,福建福州,散裝輪,基隆港,297000
098年05月,福建馬尾,散裝輪,基隆港,59380
098年05月,廣東沙田,散裝輪,基隆港,18000
098年05月,福建馬尾,乾貨輪,基隆港,14500
098年05月,江蘇南通,乾貨輪,基隆港,510
098年06月,安徽安慶,貨櫃輪,基隆港,15
098年06月,廣東廣州,貨櫃輪,基隆港,17
098年06月,江蘇常熟,貨櫃輪,基隆港,192
098年06月,重慶,貨櫃輪,基隆港,593
098年06月,湖南長沙,貨櫃輪,基隆港,71
098年06月,遼寧大連,貨櫃輪,基隆港,2957
098年06月,廣西防城,貨櫃輪,基隆港,574
098年06月,吉林豐廣,貨櫃輪,基隆港,2
098年06月,福建福州,貨櫃輪,基隆港,446
098年06月,廣東花都,貨櫃輪,基隆港,22
098年06月,廣東黃埔,貨櫃輪,基隆港,237
098年06月,廣東花都,貨櫃輪,基隆港,68
098年06月,湖北荊州,貨櫃輪,基隆港,84
098年06月,江蘇江陰,貨櫃輪,基隆港,472
098年06月,江西九江,貨櫃輪,基隆港,5
098年06月,江西南昌,貨櫃輪,基隆港,22
098年06月,廣東蓮花山,貨櫃輪,基隆港,2
098年06月,江蘇連雲港,貨櫃輪,基隆港,4176
098年06月,浙江寧波,貨櫃輪,基隆港,5831
098年06月,江蘇南京,貨櫃輪,基隆港,643
098年06月,廣東南沙,貨櫃輪,基隆港,16
098年06月,江蘇南通,貨櫃輪,基隆港,45
098年06月,上海浦東機場,貨櫃輪,基隆港,9
098年06月,吉林三合,貨櫃輪,基隆港,3
098年06月,上海,貨櫃輪,基隆港,52617
098年06月,遼寧瀋陽,貨櫃輪,基隆港,13
098年06月,廣東三山,貨櫃輪,基隆港,38
098年06月,廣東蛇口,貨櫃輪,基隆港,308
098年06月,福建石湖,貨櫃輪,基隆港,10
098年06月,廣東汕頭,貨櫃輪,基隆港,79
098年06月,新疆鄯善,貨櫃輪,基隆港,3
098年06月,廣東深圳,貨櫃輪,基隆港,16
098年06月,江蘇太倉,貨櫃輪,基隆港,2287
098年06月,山東青島,貨櫃輪,基隆港,7985
098年06月,安徽銅陵,貨櫃輪,基隆港,16
098年06月,天津,貨櫃輪,基隆港,196
098年06月,天津新港,貨櫃輪,基隆港,4810
098年06月,安徽蕪湖,貨櫃輪,基隆港,22
098年06月,湖北武漢,貨櫃輪,基隆港,796
098年06月,廣東新豐,貨櫃輪,基隆港,4103
098年06月,天津新港,貨櫃輪,基隆港,2366
098年06月,廣東小欖,貨櫃輪,基隆港,6
098年06月,廣東新會,貨櫃輪,基隆港,14
098年06月,福建廈門,貨櫃輪,基隆港,17476
098年06月,青海西寧,貨櫃輪,基隆港,43
098年06月,湖南－－,貨櫃輪,基隆港,134
098年06月,河北宜昌,貨櫃輪,基隆港,25
098年06月,廣東鹽田,貨櫃輪,基隆港,179
098年06月,廣東湛江,貨櫃輪,基隆港,820
098年06月,江蘇鎮江,貨櫃輪,基隆港,266
098年06月,江蘇張家港,貨櫃輪,基隆港,70
098年06月,廣東肇慶,貨櫃輪,基隆港,96
098年06月,廣東中山,貨櫃輪,基隆港,7
098年06月,廣東珠海,貨櫃輪,基隆港,14
098年06月,遼寧大連,油輪,基隆港,2973
098年06月,河南鄭州,散裝輪,基隆港,17200
098年06月,福建福州,散裝輪,基隆港,273590
098年06月,福建馬尾,散裝輪,基隆港,77452
098年06月,廣東沙田,散裝輪,基隆港,17500
098年07月,安徽安慶,貨櫃輪,基隆港,17
098年07月,遼寧鱍魚圈,貨櫃輪,基隆港,42
098年07月,重慶,貨櫃輪,基隆港,450
098年07月,湖南長沙,貨櫃輪,基隆港,126
098年07月,遼寧大連,貨櫃輪,基隆港,3092
098年07月,廣西防城,貨櫃輪,基隆港,356
098年07月,福建福州,貨櫃輪,基隆港,1443
098年07月,廣東佛山,貨櫃輪,基隆港,1
098年07月,海南海口,貨櫃輪,基隆港,6
098年07月,廣東花都,貨櫃輪,基隆港,369
098年07月,廣東黃埔,貨櫃輪,基隆港,171
098年07月,廣東花都,貨櫃輪,基隆港,68
098年07月,廣東黃埔新港,貨櫃輪,基隆港,1
098年07月,江蘇江陰,貨櫃輪,基隆港,301
098年07月,江西九江,貨櫃輪,基隆港,3
098年07月,廣東甲子,貨櫃輪,基隆港,126
098年07月,江西南昌,貨櫃輪,基隆港,88
098年07月,廣東蓮花山,貨櫃輪,基隆港,1
098年07月,江蘇連雲港,貨櫃輪,基隆港,3382
098年07月,福建馬尾,貨櫃輪,基隆港,1
098年07月,浙江寧波,貨櫃輪,基隆港,5181
098年07月,江蘇南京,貨櫃輪,基隆港,487
098年07月,廣東南沙,貨櫃輪,基隆港,8
098年07月,江蘇南通,貨櫃輪,基隆港,206
098年07月,上海浦東機場,貨櫃輪,基隆港,18
098年07月,上海,貨櫃輪,基隆港,48861
098年07月,遼寧瀋陽,貨櫃輪,基隆港,31
098年07月,廣東三山,貨櫃輪,基隆港,12
098年07月,廣東蛇口,貨櫃輪,基隆港,260
098年07月,河北秦皇島,貨櫃輪,基隆港,43
098年07月,福建石湖,貨櫃輪,基隆港,17
098年07月,廣東南海三山,貨櫃輪,基隆港,13
098年07月,廣東順德,貨櫃輪,基隆港,1
098年07月,廣東汕頭,貨櫃輪,基隆港,114
098年07月,新疆鄯善,貨櫃輪,基隆港,1
098年07月,廣東深圳,貨櫃輪,基隆港,8
098年07月,江蘇太倉,貨櫃輪,基隆港,1980
098年07月,山東青島,貨櫃輪,基隆港,6424
098年07月,天津,貨櫃輪,基隆港,68
098年07月,天津新港,貨櫃輪,基隆港,5040
098年07月,湖北武漢,貨櫃輪,基隆港,607
098年07月,廣東新豐,貨櫃輪,基隆港,3110
098年07月,天津新港,貨櫃輪,基隆港,2395
098年07月,廣東小欖,貨櫃輪,基隆港,4
098年07月,廣東新會,貨櫃輪,基隆港,69
098年07月,廣東新塘,貨櫃輪,基隆港,2
098年07月,福建廈門,貨櫃輪,基隆港,16794
098年07月,青海西寧,貨櫃輪,基隆港,117
098年07月,河北宜昌,貨櫃輪,基隆港,85
098年07月,遼寧營口,貨櫃輪,基隆港,24
098年07月,廣東鹽田,貨櫃輪,基隆港,251
098年07月,湖南岳陽,貨櫃輪,基隆港,7
098年07月,江蘇楊州,貨櫃輪,基隆港,4
098年07月,廣東湛江,貨櫃輪,基隆港,715
098年07月,江蘇鎮江,貨櫃輪,基隆港,225
098年07月,江蘇張家港,貨櫃輪,基隆港,21
098年07月,廣東肇慶,貨櫃輪,基隆港,26
098年07月,廣東中山,貨櫃輪,基隆港,0
098年07月,廣東珠海,貨櫃輪,基隆港,3
098年07月,廣東沙田,礦砂輪,基隆港,23800
098年07月,福建城澳,散裝輪,基隆港,23500
098年07月,福建福州,散裝輪,基隆港,239029
098年07月,福建馬尾,散裝輪,基隆港,95720
098年07月,廣東沙田,散裝輪,基隆港,4100
098年07月,江蘇南通,乾貨輪,基隆港,510
098年08月,安徽安慶,貨櫃輪,基隆港,11
098年08月,廣西北海,貨櫃輪,基隆港,47
098年08月,重慶,貨櫃輪,基隆港,622
098年08月,湖南長沙,貨櫃輪,基隆港,171
098年08月,遼寧大連,貨櫃輪,基隆港,3471
098年08月,廣西防城,貨櫃輪,基隆港,643
098年08月,福建福州,貨櫃輪,基隆港,1065
098年08月,海南海口,貨櫃輪,基隆港,10
098年08月,廣東花都,貨櫃輪,基隆港,203
098年08月,浙江杭州,貨櫃輪,基隆港,0
098年08月,廣東黃埔,貨櫃輪,基隆港,913
098年08月,江蘇江陰,貨櫃輪,基隆港,233
098年08月,江西九江,貨櫃輪,基隆港,11
098年08月,浙江嘉興,貨櫃輪,基隆港,5
098年08月,廣東甲子,貨櫃輪,基隆港,51
098年08月,廣東九江,貨櫃輪,基隆港,48
098年08月,廣東江門,貨櫃輪,基隆港,5
098年08月,江西南昌,貨櫃輪,基隆港,220
098年08月,江蘇連雲港,貨櫃輪,基隆港,3841
098年08月,浙江寧波,貨櫃輪,基隆港,5992
098年08月,江蘇南京,貨櫃輪,基隆港,668
098年08月,廣東南沙,貨櫃輪,基隆港,42
098年08月,江蘇南通,貨櫃輪,基隆港,139
098年08月,上海浦東機場,貨櫃輪,基隆港,7
098年08月,福建泉州,貨櫃輪,基隆港,11
098年08月,上海,貨櫃輪,基隆港,54111
098年08月,遼寧瀋陽,貨櫃輪,基隆港,25
098年08月,廣東三山,貨櫃輪,基隆港,12
098年08月,福建石獅,貨櫃輪,基隆港,8
098年08月,廣東蛇口,貨櫃輪,基隆港,337
098年08月,陝西西安,貨櫃輪,基隆港,16
098年08月,廣東汕頭,貨櫃輪,基隆港,215
098年08月,廣東深圳,貨櫃輪,基隆港,19
098年08月,江蘇太倉,貨櫃輪,基隆港,1992
098年08月,山東青島,貨櫃輪,基隆港,7639
098年08月,安徽銅陵,貨櫃輪,基隆港,16
098年08月,天津,貨櫃輪,基隆港,95
098年08月,天津新港,貨櫃輪,基隆港,5322
098年08月,江蘇泰州,貨櫃輪,基隆港,26
098年08月,湖北武漢,貨櫃輪,基隆港,929
098年08月,廣西梧州,貨櫃輪,基隆港,6
098年08月,廣東新豐,貨櫃輪,基隆港,2476
098年08月,天津新港,貨櫃輪,基隆港,2375
098年08月,廣東新會,貨櫃輪,基隆港,1
098年08月,廣東新塘,貨櫃輪,基隆港,5
098年08月,福建廈門,貨櫃輪,基隆港,14871
098年08月,青海西寧,貨櫃輪,基隆港,81
098年08月,河北宜昌,貨櫃輪,基隆港,190
098年08月,遼寧營口,貨櫃輪,基隆港,48
098年08月,廣東鹽田,貨櫃輪,基隆港,217
098年08月,廣東湛江,貨櫃輪,基隆港,1322
098年08月,江蘇鎮江,貨櫃輪,基隆港,150
098年08月,江蘇張家港,貨櫃輪,基隆港,79
098年08月,廣東肇慶,貨櫃輪,基隆港,106
098年08月,廣東中山,貨櫃輪,基隆港,2
098年08月,廣東珠海,貨櫃輪,基隆港,1
098年08月,福建漳州,貨櫃輪,基隆港,99
098年08月,廣東廣州,散裝輪,基隆港,48290
098年08月,福建城澳,散裝輪,基隆港,33950
098年08月,福建福州,散裝輪,基隆港,180570
098年08月,廣東黃埔,散裝輪,基隆港,35300
098年08月,福建馬尾,散裝輪,基隆港,56940
098年08月,廣東沙田,散裝輪,基隆港,19200
098年08月,福建漳州,散裝輪,基隆港,16800
098年08月,福建馬尾,乾貨輪,基隆港,15000
098年08月,上海,乾貨輪,基隆港,11518
098年09月,安徽安慶,貨櫃輪,基隆港,31
098年09月,遼寧鱍魚圈,貨櫃輪,基隆港,24
098年09月,廣西北海,貨櫃輪,基隆港,68
098年09月,廣東廣州,貨櫃輪,基隆港,5
098年09月,重慶,貨櫃輪,基隆港,544
098年09月,廣東長沙,貨櫃輪,基隆港,26
098年09月,湖南長沙,貨櫃輪,基隆港,240
098年09月,遼寧大連,貨櫃輪,基隆港,3632
098年09月,廣西防城,貨櫃輪,基隆港,514
098年09月,吉林豐廣,貨櫃輪,基隆港,1
098年09月,福建福州,貨櫃輪,基隆港,2171
098年09月,廣東佛山,貨櫃輪,基隆港,10
098年09月,廣東花都,貨櫃輪,基隆港,112
098年09月,廣東黃埔,貨櫃輪,基隆港,1028
098年09月,廣東花都,貨櫃輪,基隆港,68
098年09月,江蘇江陰,貨櫃輪,基隆港,276
098年09月,江西九江,貨櫃輪,基隆港,152
098年09月,廣東九江,貨櫃輪,基隆港,47
098年09月,廣東江門,貨櫃輪,基隆港,16
098年09月,江西南昌,貨櫃輪,基隆港,157
098年09月,江蘇連雲港,貨櫃輪,基隆港,3658
098年09月,福建馬尾,貨櫃輪,基隆港,0
098年09月,廣東茂名,貨櫃輪,基隆港,60
098年09月,浙江寧波,貨櫃輪,基隆港,5405
098年09月,江蘇南京,貨櫃輪,基隆港,598
098年09月,廣東南沙,貨櫃輪,基隆港,29
098年09月,江蘇南通,貨櫃輪,基隆港,33
098年09月,上海浦東機場,貨櫃輪,基隆港,2
098年09月,吉林三合,貨櫃輪,基隆港,0
098年09月,上海,貨櫃輪,基隆港,57311
098年09月,遼寧瀋陽,貨櫃輪,基隆港,19
098年09月,廣東三山,貨櫃輪,基隆港,1
098年09月,廣東蛇口,貨櫃輪,基隆港,399
098年09月,福建石湖,貨櫃輪,基隆港,29
098年09月,廣東沙田,貨櫃輪,基隆港,24
